,spoofed_synthethic_cyclegan_003,spoofed_synthethic_cyclegan_004,spoofed_synthethic_cyclegan_005,spoofed_synthethic_cyclegan_006,spoofed_synthethic_distancegan_003,spoofed_synthethic_distancegan_004,spoofed_synthethic_distancegan_005,spoofed_synthethic_distancegan_006,spoofed_synthethic_drit_003,spoofed_synthethic_drit_004,spoofed_synthethic_drit_005,spoofed_synthethic_drit_006,spoofed_synthethic_stargan-v2_003,spoofed_synthethic_stargan-v2_004,spoofed_synthethic_stargan-v2_005,spoofed_synthethic_stargan-v2_006
spoofed_synthethic_cyclegan_003,48,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_004,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_005,0,0,56,10,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_006,0,0,12,53,0,0,0,0,0,0,0,1,0,0,0,0
spoofed_synthethic_distancegan_003,0,0,0,0,52,14,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_004,0,0,0,0,34,32,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_005,0,0,0,0,0,0,50,16,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_006,0,0,0,0,0,0,21,45,0,0,0,0,0,0,0,0
spoofed_synthethic_drit_003,0,0,0,0,0,0,0,0,57,9,0,0,0,0,0,0
spoofed_synthethic_drit_004,0,0,0,0,0,0,0,0,2,64,0,0,0,0,0,0
spoofed_synthethic_drit_005,0,0,0,0,0,0,0,0,0,2,45,19,0,0,0,0
spoofed_synthethic_drit_006,0,0,0,0,0,0,0,0,1,1,7,56,1,0,0,0
spoofed_synthethic_stargan-v2_003,0,0,0,0,2,0,0,0,0,0,0,0,54,8,1,1
spoofed_synthethic_stargan-v2_004,0,0,0,0,0,0,0,0,0,0,0,0,5,60,1,0
spoofed_synthethic_stargan-v2_005,0,0,0,0,0,0,0,1,0,0,0,0,2,0,63,0
spoofed_synthethic_stargan-v2_006,0,0,0,1,1,0,0,1,0,0,0,0,2,3,4,54
