,spoofed_synthethic_cyclegan_003,spoofed_synthethic_cyclegan_004,spoofed_synthethic_cyclegan_005,spoofed_synthethic_cyclegan_006,spoofed_synthethic_distancegan_003,spoofed_synthethic_distancegan_004,spoofed_synthethic_distancegan_005,spoofed_synthethic_distancegan_006,spoofed_synthethic_drit_003,spoofed_synthethic_drit_004,spoofed_synthethic_drit_005,spoofed_synthethic_drit_006,spoofed_synthethic_stargan-v2_003,spoofed_synthethic_stargan-v2_004,spoofed_synthethic_stargan-v2_005,spoofed_synthethic_stargan-v2_006
spoofed_synthethic_cyclegan_003,55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_004,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_005,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_006,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_003,0,0,0,0,37,28,0,0,0,0,0,0,0,1,0,0
spoofed_synthethic_distancegan_004,0,0,0,0,22,44,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_005,0,0,0,0,0,0,44,22,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_006,0,0,0,0,0,0,24,42,0,0,0,0,0,0,0,0
spoofed_synthethic_drit_003,0,0,0,0,0,0,0,0,62,4,0,0,0,0,0,0
spoofed_synthethic_drit_004,0,0,0,0,0,0,0,0,9,57,0,0,0,0,0,0
spoofed_synthethic_drit_005,0,0,0,0,0,0,0,0,1,1,58,6,0,0,0,0
spoofed_synthethic_drit_006,0,0,0,0,0,0,0,0,1,2,14,48,0,0,1,0
spoofed_synthethic_stargan-v2_003,0,0,1,0,0,0,0,0,0,2,0,0,53,7,1,2
spoofed_synthethic_stargan-v2_004,0,0,0,0,0,0,0,0,0,0,0,0,6,59,1,0
spoofed_synthethic_stargan-v2_005,0,0,0,0,0,0,0,1,0,0,0,0,2,1,62,0
spoofed_synthethic_stargan-v2_006,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,60
