,spoofed_synthethic_cyclegan_003,spoofed_synthethic_cyclegan_004,spoofed_synthethic_cyclegan_005,spoofed_synthethic_cyclegan_006,spoofed_synthethic_distancegan_003,spoofed_synthethic_distancegan_004,spoofed_synthethic_distancegan_005,spoofed_synthethic_distancegan_006,spoofed_synthethic_drit_003,spoofed_synthethic_drit_004,spoofed_synthethic_drit_005,spoofed_synthethic_drit_006,spoofed_synthethic_stargan-v2_003,spoofed_synthethic_stargan-v2_004,spoofed_synthethic_stargan-v2_005,spoofed_synthethic_stargan-v2_006
spoofed_synthethic_cyclegan_003,51,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_004,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_005,0,0,64,2,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_006,0,0,11,55,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_003,0,0,0,0,42,24,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_004,0,0,0,0,26,38,0,0,0,0,0,0,0,2,0,0
spoofed_synthethic_distancegan_005,0,0,0,0,0,0,41,25,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_006,0,0,0,0,0,0,17,49,0,0,0,0,0,0,0,0
spoofed_synthethic_drit_003,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
spoofed_synthethic_drit_004,0,0,0,0,0,0,0,0,3,63,0,0,0,0,0,0
spoofed_synthethic_drit_005,0,0,0,0,0,0,0,0,0,1,53,12,0,0,0,0
spoofed_synthethic_drit_006,0,0,0,1,0,0,0,0,0,0,18,47,0,0,0,0
spoofed_synthethic_stargan-v2_003,0,0,0,0,0,1,0,0,0,0,0,0,57,5,2,1
spoofed_synthethic_stargan-v2_004,0,0,0,0,0,0,0,0,0,0,0,0,9,57,0,0
spoofed_synthethic_stargan-v2_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2
spoofed_synthethic_stargan-v2_006,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,62
